iter	Passed	Remaining
0	149	149637
1	155	77672
2	161	53515
3	166	41495
4	171	34217
5	177	29430
6	183	25986
7	188	23319
8	193	21334
9	199	19777
10	205	18441
11	210	17306
12	215	16381
13	220	15545
14	225	14835
15	231	14262
16	237	13749
17	244	13338
18	250	12940
19	257	12609
20	263	12290
21	269	12001
22	277	11790
23	284	11565
24	291	11383
25	299	11212
26	306	11037
27	312	10859
28	319	10686
29	324	10505
30	331	10361
31	339	10261
32	345	10127
33	352	10026
34	359	9900
35	366	9809
36	372	9703
37	378	9571
38	384	9474
39	391	9384
40	397	9298
41	403	9208
42	410	9133
43	416	9055
44	423	8984
45	430	8921
46	437	8861
47	443	8793
48	450	8735
49	456	8666
50	463	8627
51	469	8566
52	477	8525
53	483	8467
54	489	8412
55	495	8360
56	504	8338
57	510	8298
58	517	8252
59	523	8200
60	529	8156
61	536	8115
62	542	8072
63	549	8041
64	556	8000
65	562	7961
66	569	7936
67	576	7896
68	582	7863
69	588	7821
70	595	7791
71	601	7755
72	608	7723
73	614	7687
74	620	7648
75	626	7620
76	634	7599
77	640	7568
78	647	7543
79	654	7524
80	661	7500
81	667	7468
82	673	7438
83	679	7408
84	685	7382
85	692	7355
86	699	7340
87	705	7307
88	711	7281
89	717	7253
90	723	7227
91	729	7201
92	735	7172
93	741	7151
94	748	7128
95	754	7107
96	761	7092
97	768	7074
98	773	7043
99	780	7025
100	786	7002
101	794	6991
102	800	6969
103	806	6945
104	813	6931
105	819	6915
106	827	6903
107	833	6883
108	840	6868
109	846	6850
110	853	6833
111	860	6820
112	866	6803
113	873	6785
114	879	6769
115	886	6757
116	892	6738
117	898	6718
118	905	6701
119	911	6687
120	918	6669
121	923	6648
122	930	6635
123	935	6611
124	941	6589
125	946	6564
126	951	6542
127	957	6523
128	964	6512
129	969	6488
130	974	6467
131	980	6450
132	986	6432
133	992	6415
134	997	6393
135	1003	6372
136	1009	6356
137	1014	6336
138	1019	6314
139	1025	6302
140	1031	6284
141	1037	6270
142	1043	6255
143	1048	6233
144	1054	6215
145	1059	6195
146	1063	6171
147	1070	6163
148	1076	6147
149	1081	6130
150	1087	6112
151	1092	6093
152	1097	6074
153	1101	6053
154	1106	6032
155	1111	6015
156	1116	5994
157	1121	5976
158	1126	5960
159	1132	5945
160	1138	5930
161	1143	5915
162	1149	5900
163	1154	5884
164	1159	5866
165	1164	5849
166	1169	5834
167	1174	5817
168	1179	5799
169	1184	5783
170	1189	5765
171	1194	5749
172	1199	5734
173	1204	5719
174	1209	5703
175	1214	5687
176	1221	5679
177	1226	5663
178	1232	5650
179	1237	5638
180	1243	5626
181	1248	5612
182	1253	5596
183	1258	5582
184	1263	5566
185	1269	5554
186	1274	5540
187	1279	5525
188	1284	5513
189	1290	5502
190	1296	5489
191	1301	5477
192	1306	5464
193	1312	5451
194	1316	5435
195	1322	5425
196	1328	5414
197	1333	5400
198	1338	5386
199	1343	5373
200	1348	5360
201	1353	5348
202	1359	5335
203	1364	5322
204	1368	5308
205	1375	5299
206	1380	5289
207	1386	5281
208	1392	5271
209	1397	5258
210	1403	5247
211	1408	5234
212	1413	5221
213	1418	5210
214	1423	5197
215	1428	5185
216	1433	5173
217	1441	5170
218	1447	5162
219	1453	5154
220	1459	5143
221	1464	5133
222	1470	5124
223	1476	5113
224	1481	5104
225	1486	5091
226	1492	5080
227	1497	5070
228	1502	5059
229	1507	5047
230	1513	5037
231	1518	5027
232	1523	5015
233	1528	5003
234	1533	4992
235	1538	4980
236	1544	4971
237	1549	4962
238	1554	4951
239	1560	4940
240	1565	4930
241	1570	4917
242	1575	4907
243	1580	4896
244	1586	4887
245	1591	4877
246	1596	4866
247	1601	4855
248	1606	4845
249	1611	4833
250	1617	4825
251	1623	4817
252	1629	4810
253	1635	4802
254	1640	4793
255	1646	4783
256	1651	4775
257	1656	4764
258	1661	4752
259	1666	4744
260	1672	4734
261	1677	4724
262	1682	4714
263	1687	4704
264	1693	4695
265	1698	4687
266	1704	4678
267	1708	4667
268	1714	4658
269	1719	4647
270	1724	4638
271	1731	4634
272	1737	4626
273	1743	4619
274	1749	4612
275	1755	4605
276	1761	4598
277	1767	4590
278	1773	4582
279	1779	4574
280	1784	4565
281	1790	4558
282	1796	4550
283	1800	4540
284	1806	4531
285	1811	4522
286	1816	4513
287	1822	4506
288	1828	4497
289	1833	4489
290	1839	4480
291	1843	4470
292	1849	4462
293	1855	4454
294	1860	4445
295	1865	4436
296	1871	4428
297	1877	4421
298	1882	4414
299	1888	4406
300	1893	4398
301	1899	4390
302	1904	4381
303	1910	4374
304	1916	4366
305	1921	4357
306	1927	4350
307	1933	4344
308	1940	4338
309	1945	4330
310	1951	4322
311	1956	4315
312	1962	4308
313	1968	4300
314	1974	4294
315	1980	4287
316	1986	4279
317	1992	4273
318	1997	4264
