BUSSTOP_NM	BUS_STOP_ID	GPS_LATI	GPS_LONG
충대농대종점	42740	36.3661	127.352
한빛아파트	42720	36.3629	127.353
충대농대입구	42710	36.3604	127.353
궁동	42700	36.3608	127.35
충남대학교	42600	36.3616	127.344
온천교	41350	36.3578	127.343
유성온천역6번출구	41320	36.3549	127.342
유성온천역5번출구	41290	36.3543	127.34
유성자이아파트	41200	36.3559	127.337
유성고속터미널	42110	36.3583	127.336
유성초네거리	42090	36.3612	127.336
장대네거리	42140	36.365	127.339
충대서문	42530	36.3694	127.34
북대전세무서/보훈요양원	42560	36.3743	127.342
충대수의대	42580	36.3775	127.343
KT&G연구소	42971	36.384	127.346
럭키하나아파트	81990	36.3859	127.348
신성동주민센터	81220	36.389	127.348
탄동농협	82000	36.3908	127.35
애경연구원	82010	36.3921	127.351
아리랑보쌈앞	82020	36.3943	127.353
한국기계연구원	43360	36.3959	127.356
한국타이어중앙연구소	43380	36.392	127.359
대덕대학	43420	36.3901	127.362
한국전자통신연구원	43080	36.3838	127.367
한국표준과학연구원	43100	36.3853	127.373
대덕고등학교	43200	36.3865	127.379
대덕터널입구	43230	36.3885	127.38
국립문화재연구원	44010	36.3903	127.391
LG화학기술연구원	44020	36.3902	127.397
문지네거리	44070	36.3907	127.405
엑스포아파트	44240	36.3965	127.405
전민중학교	44250	36.4008	127.405
태광산업중앙연구소	44200	36.4036	127.405
태광산업중앙연구소	44210	36.4036	127.405
전민중학교	44230	36.4008	127.405
세종아파트	44180	36.3997	127.404
전민동주민센터	44170	36.3997	127.401
선비마을	44110	36.3997	127.397
대덕특구체육공원	45850	36.4024	127.398
LH연구원	44130	36.4047	127.398
탑립1통	44300	36.4089	127.396
탑립육교	44410	36.4107	127.394
호반써밋그랜드파크	47050	36.4151	127.394
테크노밸리12단지	82050	36.4173	127.393
테크노밸리6단지	81730	36.4188	127.388
테크노밸리5단지	44540	36.42	127.386
관평중학교	44560	36.4242	127.389
수변공원	44670	36.4256	127.393
용산고등학교	46280	36.4222	127.397
한텍	82310	36.422	127.401
대전테크노파크	82330	36.4206	127.404
조은정밀	82350	36.4163	127.407
청벽산공원	82370	36.4134	127.407
조은정밀	82360	36.4155	127.407
대전테크노파크	82340	36.4209	127.405
한텍	82320	36.422	127.402
수변공원	44680	36.4258	127.393
관평중학교	44550	36.4238	127.388
테크노밸리4단지	44530	36.4201	127.386
테크노밸리6단지	81720	36.4186	127.388
테크노밸리12단지	81930	36.4171	127.393
호반써밋그랜드파크	47040	36.4152	127.393
탑립육교	44400	36.4108	127.394
탑립1통	44290	36.4088	127.396
k-water인재개발원	44120	36.4051	127.398
대덕특구체육공원	45840	36.4032	127.398
삼성푸른아파트	44100	36.3995	127.397
전민동주민센터	44160	36.3995	127.4
엑스포아파트	44220	36.3979	127.405
문지초등학교입구	44060	36.3963	127.405
해링턴아파트	46500	36.3925	127.405
문지네거리	44040	36.3902	127.403
KAIST문지캠퍼스	44030	36.3902	127.4
전력연구원	44000	36.3905	127.391
대덕고등학교	43160	36.3865	127.378
연구단지네거리	43140	36.3858	127.377
한국표준과학연구원	43120	36.3857	127.373
과학기술연합대학원(UST)	43090	36.3842	127.367
한국연구재단	43460	36.3856	127.364
대덕대학	43430	36.3907	127.362
중소벤처기업청	43390	36.3922	127.36
한국기계연구원	43370	36.3948	127.356
아리랑보쌈앞	81320	36.3945	127.353
애경연구원	81290	36.3922	127.351
탄동농협	81270	36.3909	127.35
신성동주민센터	81230	36.3893	127.348
럭키하나아파트	81170	36.3859	127.348
유성구노인복지관	42940	36.3843	127.346
우주통신연구소	42570	36.3773	127.342
북대전세무서/보훈요양원	42550	36.3745	127.341
충대서문	42540	36.3705	127.34
궁동교	42130	36.3662	127.339
장대네거리	42120	36.3636	127.338
유성고속터미널	42100	36.3588	127.336
봉명동우체국	41210	36.3546	127.338
유성온천역7번출구	41330	36.3544	127.342
